feature,importance
days_to_easter,2041.3333333333333
day,1828.6666666666667
DayOfWeek,1413.3333333333333
sales_momentum_7,1158.6666666666667
weekofyear,1003.3333333333334
Sales_lag_14,941.0
Sales_lag_7,932.3333333333334
Sales_lag_28,801.0
Sales_rollmean_7,794.6666666666666
CompetitionDistance,775.6666666666666
Sales_rollstd_7,747.6666666666666
Sales_rollmean_28,699.0
Promo,622.6666666666666
Sales_rollstd_28,550.3333333333334
Sales_rollmean_14,546.0
Sales_rollstd_14,400.0
month,394.3333333333333
Store,344.3333333333333
Promo2SinceWeek,286.3333333333333
Promo2SinceYear,268.0
CompetitionOpenSinceYear,246.33333333333334
CompetitionOpenSinceMonth,226.33333333333334
cluster_3,213.66666666666666
year,177.33333333333334
school_holiday_yesterday,174.33333333333334
is_month_end,148.66666666666666
competition_open_months,141.33333333333334
cluster_0,138.33333333333334
cluster_4,134.66666666666666
log_competition_distance,125.66666666666667
cluster_1,121.66666666666667
cluster_2,120.33333333333333
SchoolHoliday,116.33333333333333
is_weekend,99.0
promo_interval_active,93.33333333333333
promo2_active_on_date,82.66666666666667
school_holiday_tomorrow,77.66666666666667
is_easter_week,54.0
is_newyear_week,39.666666666666664
is_christmas_week,37.666666666666664
quarter,18.666666666666668
is_month_start,12.333333333333334
Promo2,9.333333333333334
Id,0.0
Open,0.0
